sitio,fecha,mes,transecto,cuadrante,Pocillopora spp,Pavona clavus,Pavona gigantea,Pavona varians,Porites lobata
PS,8/1/2013,8,1,1,0,0,0,0,0
PS,8/1/2013,8,1,2,0,0,0,0,0
PS,8/1/2013,8,1,3,1,0,0,0,0
PS,8/1/2013,8,2,1,0,0,0,0,0
PS,8/1/2013,8,2,2,0,0,0,0,0
PS,8/1/2013,8,2,3,1,0,0,0,0
PS,8/1/2013,8,3,1,0,0,0,0,0
PS,8/1/2013,8,3,2,0,0,0,0,0
PS,8/1/2013,8,3,3,1,0,0,0,0
PS,8/1/2013,8,4,1,0,0,0,0,0
PS,8/1/2013,8,4,2,0,1,0,0,0
PS,8/1/2013,8,4,3,1,0,0,0,0
PS,8/1/2013,8,5,1,1,0,0,0,0
PS,8/1/2013,8,5,2,0,0,0,0,0
PS,8/1/2013,8,5,3,1,0,0,0,0
PS,9/1/2013,9,1,1,0,0,0,0,0
PS,9/1/2013,9,1,2,0,0,0,0,0
PS,9/1/2013,9,1,3,1,0,0,0,0
PS,9/1/2013,9,2,1,0,0,0,0,0
PS,9/1/2013,9,2,2,0,0,0,0,0
PS,9/1/2013,9,2,3,1,1,0,0,0
PS,9/1/2013,9,3,1,0,0,0,0,0
PS,9/1/2013,9,3,2,0,0,0,0,0
PS,9/1/2013,9,3,3,1,0,0,0,0
PS,9/1/2013,9,4,1,1,0,0,0,0
PS,9/1/2013,9,4,2,0,0,0,0,0
PS,9/1/2013,9,4,3,0,0,0,0,0
PS,9/1/2013,9,5,1,1,0,0,0,0
PS,9/1/2013,9,5,2,0,0,0,0,0
PS,9/1/2013,9,5,3,0,0,0,0,0
PS,10/18/2013,10,1,1,1,0,0,0,0
PS,10/18/2013,10,1,2,1,0,0,0,0
PS,10/18/2013,10,1,3,0,1,0,0,0
PS,10/18/2013,10,2,1,1,0,0,0,0
PS,10/18/2013,10,2,2,0,0,0,0,0
PS,10/18/2013,10,2,3,0,0,0,0,0
PS,10/18/2013,10,3,1,1,0,0,0,0
PS,10/18/2013,10,3,2,0,0,0,0,0
PS,10/18/2013,10,3,3,0,0,0,0,0
PS,10/18/2013,10,4,1,1,0,0,0,0
PS,10/18/2013,10,4,2,0,0,0,0,0
PS,10/18/2013,10,4,3,0,0,0,0,0
PS,10/18/2013,10,5,1,1,1,0,0,0
PS,10/18/2013,10,5,2,1,0,0,0,0
PS,10/18/2013,10,5,3,0,0,0,0,0
PS,11/27/2013,11,1,1,0,0,0,0,0
PS,11/27/2013,11,1,2,1,0,0,0,0
PS,11/27/2013,11,1,3,0,0,0,0,0
PS,11/27/2013,11,2,1,0,0,0,0,0
PS,11/27/2013,11,2,2,1,0,0,0,0
PS,11/27/2013,11,2,3,0,0,0,0,0
PS,11/27/2013,11,3,1,0,0,0,0,0
PS,11/27/2013,11,3,2,1,0,0,0,0
PS,11/27/2013,11,3,3,0,0,0,0,0
PS,11/27/2013,11,4,1,0,0,0,0,0
PS,11/27/2013,11,4,2,1,0,0,0,0
PS,11/27/2013,11,4,3,0,0,0,0,0
