Sitio,Sub-Sitio,fecha,transecto_5M,profundidad,temp,IR,conteo_D. mexicanum,conteo E. thouarsii,,
Isla de Plata,Palo Santo,17-10-13,1,8,24,1.5,3,7,,
Isla de Plata,Palo Santo,17-10-13,2,8,24,1.5,4,5,,
Isla de Plata,Palo Santo,17-10-13,3,8,24,1.5,2,1,,
Isla de Plata,Palo Santo,17-10-13,4,8,24,1.5,3,3,,
Isla de Plata,Palo Santo,17-10-13,5,8,24,1.5,2,15,,
Isla de Plata,Palo Santo,17-10-13,6,8,24,1.8,2,3,,
Isla de Plata,Palo Santo,17-10-13,7,8,24,1.8,2,15,,
Isla de Plata,Palo Santo,17-10-13,8,8,24,1.8,6,8,,
Isla de Plata,Palo Santo,17-10-13,9,8,24,1.8,12,15,,
Isla de Plata,Palo Santo,17-10-13,10,8,24,2.8,25,15,,
Isla de Plata,Palo Santo,17-10-13,11,8,24,2.8,14,16,,
Isla de Plata,Palo Santo,17-10-13,12,8,24,2.8,7,8,,
Isla de Plata,Palo Santo,17-10-13,13,8,24,2.1,1,8,,
Isla de Plata,Palo Santo,17-10-13,14,8,24,2.1,17,11,,
Isla de Plata,Palo Santo,17-10-13,15,8,24,2.1,9,9,,
Isla de Plata,Palo Santo,17-10-13,16,8,24,2.1,7,5,,
Isla de Plata,Bahia Drake,17-10-13,1,8,24,2.1,0,4,,
Isla de Plata,Bahia Drake,17-10-13,2,8,24,2.1,0,4,,
Isla de Plata,Bahia Drake,17-10-13,3,8,24,2.1,0,1,,
Isla de Plata,Bahia Drake,17-10-13,4,8,24,2.1,0,6,,
Isla de Plata,Bahia Drake,17-10-13,5,8,24,2.1,0,5,,
Isla de Plata,Bahia Drake,17-10-13,6,8,24,2.1,0,3,,
Isla de Plata,Bahia Drake,17-10-13,7,8,24,1.42,0,2,,
Isla de Plata,Bahia Drake,17-10-13,8,8,24,1.42,0,4,,
Isla de Plata,Bahia Drake,17-10-13,9,8,24,1.42,0,3,,
Isla de Plata,Bahia Drake,17-10-13,10,8,24,1.42,0,4,,
Isla de Plata,Bahia Drake,17-10-13,11,8,24,1.42,0,0,,
Isla de Plata,Bahia Drake,17-10-13,12,8,24,1.42,0,3,,
Isla de Plata,Bahia Drake,17-10-13,13,8,24,1.42,0,5,,
Isla de Plata,Bahia Drake,17-10-13,14,8,24,1.42,0,5,,
Isla de Plata,Bahia Drake,17-10-13,15,8,24,3.3,1,1,,
Isla de Plata,Bahia Drake,17-10-13,16,8,24,3.3,10,2,,
Isla de Plata,Acuario,17-10-13,1,8,24,3.3,1,4,,
Isla de Plata,Acuario,17-10-13,2,8,24,3.3,3,4,,
Isla de Plata,Acuario,17-10-13,3,8,24,3.3,3,4,,
Isla de Plata,Acuario,17-10-13,4,8,24,3.3,25,6,,
Isla de Plata,Acuario,17-10-13,5,8,24,3.3,18,3,,
Isla de Plata,Acuario,17-10-13,6,8,24,3.3,14,8,,
Isla de Plata,Acuario,17-10-13,7,8,24,3.3,11,7,,
Isla de Plata,Acuario,17-10-13,8,8,24,3.3,5,10,,
Isla de Plata,Acuario,17-10-13,9,8,24,3.3,5,3,,
Isla de Plata,Acuario,17-10-13,10,8,24,3.3,2,6,,
Isla de Plata,Acuario,17-10-13,11,8,24,3.3,11,4,,
Isla de Plata,Acuario,17-10-13,12,8,24,1.76,20,0,,
Isla de Plata,Acuario,17-10-13,13,8,24,1.76,11,13,,
Isla de Plata,Acuario,17-10-13,14,8,24,1.76,9,8,,
Isla de Plata,Acuario,17-10-13,15,8,24,1.76,1,3,,
Isla de Plata,Acuario,17-10-13,16,8,24,1.76,4,7,,
Isla de Plata,Acuario,13-3-14,1,8-10,17,2.2,0,2,,
Isla de Plata,Acuario,13-3-14,2,8-10,17,2.2,2,2,,
Isla de Plata,Acuario,13-3-14,3,8-10,17,2.2,3,5,,
Isla de Plata,Acuario,13-3-14,4,8-10,17,2.2,8,5,,
Isla de Plata,Acuario,13-3-14,5,8-10,17,1.9,1,0,,
Isla de Plata,Acuario,13-3-14,6,8-10,17,1.9,5,3,,
Isla de Plata,Acuario,13-3-14,7,8-10,17,1.9,2,2,,
Isla de Plata,Acuario,13-3-14,8,8-10,17,1.9,8,5,,
Isla de Plata,Acuario,13-3-14,9,8-10,17,1.9,5,7,,
Isla de Plata,Acuario,13-3-14,10,8-10,17,2.5,0,0,,
Isla de Plata,Acuario,13-3-14,11,8-10,17,2.5,2,0,,
Isla de Plata,Acuario,13-3-14,12,8-10,17,NA,NA,NA,,
Isla de Plata,Acuario,13-3-14,13,8-10,17,NA,NA,NA,,
Isla de Plata,Acuario,13-3-14,14,8-10,17,NA,NA,NA,,
Isla de Plata,Acuario,13-3-14,15,8-10,17,NA,NA,NA,,
Isla de Plata,Acuario,13-3-14,16,8-10,17,NA,NA,NA,,
