Sitio,sub-Sitio,fecha,transecto,profundidad,temp,IR,D_mexicanum,E_thouarsii
QNG,,19-6-14,1,8.5,21.5,,25,1
QNG,,19-6-14,2,8.5,21.5,,0,0
QNG,,19-6-14,3,8.5,21.5,,22,0
QNG,,19-6-14,4,8.5,21.5,,15,0
QNG,,19-6-14,5,8.5,21.5,,18,1
QNG,,19-6-14,6,8.5,21.5,,12,0
QNG,,19-6-14,7,8.5,21.5,,5,5
QNG,,19-6-14,8,8.5,21.5,,18,5
QNG,,19-6-14,9,8.5,21.5,,0,5
QNG,,19-6-14,10,8.5,21.5,,0,0
QNG,,19-6-14,11,8.5,21.5,,20,0
QNG,,19-6-14,12,8.5,21.5,,18,4
QNG,,19-6-14,13,8.5,21.5,,26,0
QNG,,19-6-14,14,8.5,21.5,,32,0
QNG,,19-6-14,15,8.5,20,,5,0
QNG,,19-6-14,16,8.5,20,,30,3
QNG,,19-6-14,1,8.5,20,,9,0
QNG,,19-6-14,2,8.5,20,,10,0
QNG,,19-6-14,3,8.5,20,,5,1
QNG,,19-6-14,4,8.5,20,,25,0
QNG,,19-6-14,5,8.5,20,,1,2
QNG,,19-6-14,6,8.5,20,,36,0
QNG,,19-6-14,7,8.5,20,,25,3
QNG,,19-6-14,8,8.5,20,,18,0
QNG,,19-6-14,9,8.5,20,,27,0
QNG,,19-6-14,10,8.5,20,,15,1
QNG,,19-6-14,11,8.5,20,,24,0
QNG,,19-6-14,12,8.5,20,,0,2
QNG,,19-6-14,13,8.5,20,,33,0
QNG,,19-6-14,14,8.5,20,,0,5
QNG,,19-6-14,15,8.5,20,,5,0
QNG,,19-6-14,16,8.5,20,,19,0
QNG,,27-4-15,1,5,27,,20,5
QNG,,27-4-15,2,5,27,,17,5
QNG,,27-4-15,3,5,27,,30,5
QNG,,27-4-15,4,5,27,,10,5
QNG,,27-4-15,5,5,27,,15,10
QNG,,27-4-15,6,5,27,,21,10
QNG,,27-4-15,7,5,27,,10,11
QNG,,27-4-15,8,5,27,,14,8
QNG,,27-4-15,9,5,27,,22,12
QNG,,27-4-15,10,5,27,,17,9
QNG,,27-4-15,11,5,27,,13,10
QNG,,27-4-15,12,5,27,,8,5
QNG,,27-4-15,13,5,27,,36,8
QNG,,27-4-15,14,5,27,,42,4
QNG,,27-4-15,15,5,27,,32,8
QNG,,27-4-15,16,5,27,,23,11
QNG,,25-4-15,1,10,26,,7,7
QNG,,25-4-15,2,10,26,,6,7
QNG,,25-4-15,3,10,26,,0,0
QNG,,25-4-15,4,10,26,,7,8
QNG,,25-4-15,5,10,26,,3,9
QNG,,25-4-15,6,10,26,,5,10
QNG,,25-4-15,7,10,26,,0,8
QNG,,25-4-15,8,10,26,,0,9
QNG,,25-4-15,9,10,26,,0,9
QNG,,25-4-15,10,10,26,,9,5
QNG,,25-4-15,11,10,26,,0,5
QNG,,25-4-15,12,10,26,,9,7
QNG,,25-4-15,13,10,26,,0,6
QNG,,25-4-15,14,10,26,,4,7
QNG,,25-4-15,15,10,26,,0,8
QNG,,25-4-15,16,10,26,,6,6
